LAT;LONG;PortName;UN-PortCode
44.4167;8.95;Genoa;ITGOA
19.2833;-81.35;Georgetown;KYGCM
-7.9253;-14.4122;Georgetown, Ascension Island;SHASI
37.8167;15.2667;Giardini Naxos (Taormina);ITGIA
36.1337;-5.3526;Gibraltar;GIGIB
43.5333;-5.6667;Gijon;ESGIJ
-38.6667;178.0333;Gisborne;NZGIS
39.7833;-75.05;Gloucester, MA;USGL2
57.7167;11.9667;Goteborg (Gothenburg);SEGOT
21.464;-71.1399;Grand Turk Island;TCGDT
68.1167;13.5;Gravdal;NOGRD
18.4414;-64.7511;Great Harbour, Jost van Dyke;VGJOS
55.9483;-4.7572;Greenock;GBGRK
64.925;-23.2608;Grundarfjørdur;ISGRF
13.481;144.732;Guam;GUGUM
-2.1667;-79.9;Guayaquil;ECGYE
27.9167;-110.8833;Guaymas, Sonora;MXGYM
46.65;2.7;Gustavia, Saint Barthélemy;GPSB2
36.7667;22.5667;Gythion;GRGYT
32.7851;34.9673;Haifa;ILHFA
59.2347;-135.4436;Haines (Skagway), AK;USHNS
33.6;130.4167;Hakata/Fukuoka;JPHKT
41.7868;140.744;Hakodate;JPHKD
24.5833;-75.9167;Half Moon Cay;BSHMC
44.6768;-63.6644;Halifax;CAHAL
34.88;132.05;Hamada;JPHMD
53.5533;9.9925;Hamburg;DEHAM
32.2939;-64.7836;Hamilton;BMBDA
70.6598;23.6693;Hammerfest;NOHFT
68.7541;16.5662;Harstad;NOHRD
51.9302;1.2539;Harwich (London);GBHRW
59.4188;5.2716;Haugesund;NOHAU
23.1167;-82.35;Havana;CUHAV
14.6831;-60.9172;Havre de Robert;MQHDR
50.2448;-63.603;Havre-Saint-Pierre;CAHSP
62.0833;6.8667;Hellesylt;NOHSY
56.0816;12.6969;Helsingborg;SEHEL
60.208;24.9044;Helsinki;FIHEL
48.6333;7.5167;Hendaye (Biarritz);FRHDE
19.7192;-155.0818;Hilo;USITO
34.3839;132.4479;Hiroshima;JPHIJ
10.6402;106.762;Ho Chi Minh City;VNSGN
-42.8796;147.3412;Hobart;AUHBA
59.6425;-151.5483;Homer, AK;USHOM
49.4167;0.2333;Honfleur;FRHON
22.3362;114.187;Hong Kong;HKHKG
-9.4378;159.967;Honiara, Guadalcanal Is;SBHIR
70.9815;25.9747;Honningsvag;NOHVG
21.3;-157.85;Honolulu;USHNL
38.5333;-28.6333;Horta;PTHOR
32.4333;131.6667;Hososhima;JPHSM
29.75;-95.35;Houston, TX;USHOU
23.9787;121.5941;Hualien;TWHUN
37.2576;-6.9412;Huelva;ESHUV
66.16;-17.15;Húsavík;ISHUS
43.1667;16.4333;Hvar;HRHVA
38.9;1.4333;Ibiza;ESIBZ
39.5;20.2667;Igoumenitsa;GRIGO
52.4667;4.6;IJmuiden;NLIJM
5.2283;-52.5825;Ile Royal;GFDIS
51.2167;-4.1167;Ilfracombe;GBILF
-23.8231;-45.3764;Ilhabela;BRIBE
-14.7932;-39.0399;Ilheus;BRIOS
69.2167;-51.1;Ilimanaq (Claushavn);GLILI
69.2167;-51.1;Ilulissat (Jakobshavn);GLJAV
-28.2386;-48.6652;Imbituba;BRIBB
37.45;126.6167;Incheon;KRINC
57.6884;-4.1685;Invergordon;GBIVG
-20.2167;-70.1333;Iquique;CLIQQ
35.3333;25.1667;Iraklion (Heraklion);GRHER
66.0666;-23.1186;Isafjørdur - høfn;ISISA
24.3333;124.15;Ishigaki;JPISG
38.4189;141.2686;Ishinomaki;JPISM
36.59;36.18;Iskenderun;TRISK
10.9167;-64.0417;Isla De Margarita, El Guamache;VEEGU
-27.15;-109.4167;Isla de Pascua;CLIPC
-33.4772;-78.8389;Isla Robinson Crusoe;CLIRC
-22.6167;167.4833;Isle of Pines;NCILP
41.041;28.9858;Istanbul;TRIST
-26.9083;-48.6626;Itajai;BRITJ
38.4167;27.15;Izmir;TRIZM
30.3315;-81.6562;Jacksonville;USJAX
-6.1333;106.8333;Jakarta;IDJKT
-15.9222;-5.7222;Jamestown;SHSHN
-2.5333;140.7;Jayapura, Irian Jaya;IDDJJ
21.4817;39.1829;Jeddah;SAJED
33.5;126.5167;Jeju;KRCHA
31.5856;130.5582;Kagoshima;JPKOJ
20.8908;-156.4671;Kahului, Maui;USOGG
37.0333;22.1167;Kalamata;GRKLX
54.652;20.3807;Kaliningrad;RUKGD
56.6882;16.3535;Kalmar;SEKLR
36.5558;136.662;Kanazawa;JPKNZ
